City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Indira Colony Vistar, Pali, India",177,177.0,138.0,30.5,9.1,3.0,7.5,25.771061,73.340227,2024-05-01 10:00:00
"Ashok Nagar, Udaipur, India",162,162.0,106.0,33.9,17.1,3.3,5.4,24.5886166,73.6321397,2024-05-01 09:00:00
"Zero Point GICI, Gangtok, India",65,65.0,56.0,23.9,2.9,4.6,4.7,27.33853,88.614099,2024-05-01 09:00:00
"Chennai US Consulate, Chennai, India (चेन्नई अमेरिकी वाणिज्य दूतावास)",57,57.0,,,,,,13.087840080261,80.278472900391,2024-05-01 08:00:00
"SIDCO Kurichi, Coimbatore, India",87,87.0,58.0,3.2,0.5,7.2,5.2,10.942451,76.978996,2023-07-21 11:00:00
"Mendonsa Colony, Dindigul, India",61,61.0,41.0,1.0,0.1,17.0,4.2,10.358535,77.984321,2023-07-25 10:00:00
"Chalai Bazaar, Ramanathapuram, India",30,30.0,14.0,5.6,,3.8,1.0,9.36399,78.831977,2024-05-01 10:00:00
"Salem, Oregon, USA",9,9.0,,23.9,,,,44.943114,-123.005934,2024-04-30 20:00:00
"Kumaran College, Tirupur, India",56,56.0,55.0,2.7,4.7,9.9,8.2,11.0973603,77.3228673,2024-04-30 10:00:00
"Meelavittan, Thoothukudi, India",72,,72.0,42.4,11.4,3.8,7.9,8.816428,78.099039,2024-05-01 10:00:00
"Bombay Castel, Ooty, India",154,154.0,81.0,2.2,12.3,5.4,4.1,11.4068288,76.7138973,2024-05-01 10:00:00
"Hyderabad US Consulate, India (हैदराबाद अमेरिकी वाणिज्य दूतावास)",107,107.0,,,,,,17.384050369263,78.456359863281,2024-05-01 09:00:00
"IITH Kandi, Hyderabad, India",60,60.0,53.0,11.2,3.1,1.8,1.4,17.585705,78.126199,2024-05-01 10:00:00
"Bardowali, Agartala, India",116,116.0,62.0,8.4,1.9,12.5,1.9,23.8175497,91.2726974,2024-05-01 09:00:00
"Sanjay Palace, Agra, India",80,80.0,8.0,9.5,10.1,,,27.19865833,78.00598056,2024-05-01 10:00:00
"Rajendra Nagar, Bareilly, India",77,73.0,77.0,2.1,0.6,18.8,3.8,28.38910936,79.42963708,2024-05-01 10:00:00
"Yamunapuram, Bulandshahr, India",116,90.0,116.0,30.7,7.0,11.9,4.3,28.406963,77.849831,2024-05-01 10:00:00
"Sanjay Nagar, Ghaziabad, India",122,122.0,112.0,41.0,11.9,16.8,5.0,28.685382,77.453839,2024-05-01 10:00:00
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",148,148.0,106.0,25.0,4.1,15.0,2.3,26.730136,83.433859,2024-05-01 10:00:00
"Shivaji Nagar, Jhansi, India",97,97.0,51.0,16.7,5.5,6.3,3.0,25.4547,78.6039,2024-05-01 10:00:00
"FTI Kidwai Nagar, Kanpur, India",164,164.0,147.0,4.3,6.5,10.2,6.1,26.428282,80.327067,2024-05-01 09:00:00
"B R Ambedkar University, Lucknow, India",159,159.0,136.0,31.5,4.1,16.5,5.6,26.766433,80.927299,2024-05-01 09:00:00
"Omex Eternity, Vrindavan, India",95,95.0,68.0,12.5,0.9,17.0,7.9,27.571409,77.655757,2024-05-01 09:00:00
"Pallavpuram Phase 2, Meerut, India",112,68.0,112.0,23.2,3.9,7.1,1.1,29.06351,77.709723,2024-05-01 10:00:00
"Jigar Colony, Moradabad, India",110,110.0,97.0,28.8,6.7,2.1,9.0,28.856664,78.772638,2024-05-01 09:00:00
"New Mandi, Muzaffarnagar, India",124,92.0,124.0,25.1,7.6,7.8,5.5,29.4723508,77.7194031,2024-05-01 10:00:00
"Maldahiya, Varanasi, India",71,71.0,40.0,6.1,0.7,10.6,2.2,25.32393,82.99687,2024-05-01 09:00:00
"Doon University, Dehradun, India",94,93.0,94.0,36.6,1.0,1.1,3.4,30.269444,78.044167,2024-05-01 10:00:00
"Flag Pole, Woodstock School, Mussoorie, India, India",-,,,,,,,30.455449,78.100618,
"Asansol Court Area, Asansol, India",209,209.0,149.0,19.7,11.1,7.8,7.6,23.685297,86.945968,2024-05-01 09:00:00
"Ghusuri, Howrah, India",159,159.0,110.0,8.6,6.6,2.5,6.0,22.611968,88.347422,2024-05-01 10:00:00
"Rabindra Bharati University, Kolkata, India",106,106.0,87.0,35.4,12.6,2.6,6.8,22.627847,88.380669,2024-05-01 10:00:00
"Bidhannagar, Kolkata, India",129,129.0,88.0,33.3,8.8,8.3,6.0,22.58157048,88.41002457,2024-05-01 10:00:00
"Sidhu Kanhu Indoor Stadium, Durgapur, India",184,184.0,166.0,30.9,5.1,2.8,4.9,23.5404352,87.2892225,2024-05-01 10:00:00
"Victoria, Kolkata, India",127,127.0,82.0,27.1,12.8,9.3,10.1,22.5448082,88.3403691,2024-05-01 10:00:00
"Rabindra Bharati University, Kolkata, India",106,106.0,87.0,35.4,12.6,2.6,6.8,22.627847,88.380669,2024-05-01 10:00:00
"Kolkata US Consulate, India (कोलकाता अमेरिकी वाणिज्य दूतावास)",162,162.0,,,,,,22.562629699707,88.363037109375,2024-05-01 09:00:00
