timestamp,latitude,longitude,pm25_ugm3,co_ppm,no2_ppb,so2_ppb,o3_ppb,temperature_c,relative_humidity,wind_speed_ms,wind_direction_deg,aqi_value
2024-04-30 18:00:00,8.8787,76.6073,134.0,2.8,3.1,1.2,14.3,29.5,75.99,2.41,267.1,134
2024-05-01 09:00:00,8.5149093,76.9435879,27.0,4.8,3.3,5.1,3.9,30.23,78.13,3.81,286.8,27
2024-05-01 10:00:00,10.5324,76.2159,88.0,2.5,2.7,0.1,12.5,31.33,71.42,3.43,275.8,88
2024-05-01 05:00:00,49.5001917595947,0.110902803971606,17.0,,4.6,,,11.22,93.76,5.2,302.2,17
2024-05-01 10:00:00,23.233584,77.400574,75.0,3.4,3.4,8.7,35.9,31.38,12.71,4.46,300.6,85
2024-01-22 16:00:00,23.81748678,79.446246,50.0,4.4,2.4,,,13.39,40.38,3.04,78.7,50
2024-05-01 10:00:00,22.9682591,76.064118,76.0,2.6,4.6,22.8,20.3,31.13,10.69,4.96,296.8,76
2024-05-01 09:00:00,26.210536,78.171,162.0,13.2,1.7,9.9,,30.24,10.0,4.79,304.0,162
2024-05-01 10:00:00,23.168606,79.932247,107.0,1.5,6.5,7.5,31.7,32.18,14.41,4.46,280.8,107
2024-05-01 10:00:00,23.331731,75.045981,90.0,,6.3,15.4,,30.29,10.36,4.43,290.3,104
2024-05-01 10:00:00,23.8640158,78.80289321,86.0,9.9,8.7,4.7,,31.01,11.12,4.56,290.9,86
2024-05-01 10:00:00,24.58434363,80.8549414,20.0,4.1,15.8,1.9,8.5,32.53,9.73,4.03,281.9,53
2024-05-01 10:00:00,23.182719,75.768218,64.0,6.1,41.2,5.2,54.6,30.57,10.6,4.77,293.6,76
2024-05-01 09:00:00,24.75746,84.366208,157.0,1.7,1.8,0.3,29.2,34.6,12.34,4.63,297.9,157
2024-04-25 22:00:00,19.9775302,79.2337086,143.0,13.0,17.3,9.2,0.6,35.4,31.35,1.42,13.4,174
2024-05-01 08:00:00,34.2875011,48.787992,57.0,10.0,38.0,6.0,,14.34,62.64,2.1,139.0,57
2024-05-01 10:00:00,19.25292,73.142019,76.0,3.6,12.6,12.2,6.3,32.33,43.68,3.49,297.6,96
2024-04-29 15:00:00,19.072830200195,72.882606506348,109.0,,,,,34.4,41.45,3.87,330.8,109
2024-05-01 10:00:00,21.152875,79.0517531,105.0,2.9,6.1,2.9,27.1,33.32,21.64,4.47,294.7,105
2024-05-01 10:00:00,20.0073285,73.7762427,116.0,10.8,9.1,2.8,16.8,30.24,30.69,4.29,285.5,116
2021-11-15 06:00:00,18.529603,73.849586,232.0,51.0,198.0,,61.0,24.32,86.44,1.84,83.1,232
2024-05-01 09:00:00,17.6599188,75.9063906,103.0,,20.0,45.0,,35.25,22.82,4.84,292.9,103
2024-04-30 13:00:00,19.192056,72.9585188,,8.7,11.7,58.5,23.5,33.84,44.3,3.4,318.5,103
2024-05-01 10:00:00,19.25292,73.142019,76.0,3.6,12.6,12.2,6.3,32.33,43.68,3.49,297.6,96
2024-05-01 10:00:00,24.8207389,93.9423085,59.0,1.3,2.7,40.1,8.5,23.58,71.13,2.16,244.7,59
2024-05-01 10:00:00,25.5586,91.8985,117.0,1.9,0.5,16.2,3.4,19.94,83.52,4.44,212.5,117
2024-05-01 10:00:00,23.7176342,92.7192841,70.0,2.2,0.5,1.1,0.5,28.16,65.59,1.26,193.6,70
2024-05-01 08:00:00,25.6635413,94.0989878,159.0,2.2,1.3,13.7,7.1,21.18,68.44,2.47,239.0,159
2024-05-01 06:00:00,50.4651921586212,3.93971432591091,46.0,,,,,16.2,85.75,2.83,24.5,46
2024-05-01 09:00:00,11.9309,79.8027,21.0,4.7,3.0,3.3,2.2,32.48,70.63,5.54,174.3,33
2024-05-01 09:00:00,11.9309,79.8027,21.0,4.7,3.0,3.3,2.2,32.48,70.63,5.54,174.3,33
