model,feature,importance
LinearRegression,wind_direction_deg_lag1,-0.03351290772881477
LinearRegression,wind_direction_deg_lag1,-0.033512907728814684
LinearRegression,wind_direction_deg_lag3,0.003430296011003059
LinearRegression,wind_direction_deg_lag3,0.0034302960110030242
LinearRegression,wind_direction_deg_lag6,0.3086829215479212
LinearRegression,wind_direction_deg_lag6,0.3086829215479213
LinearRegression,wind_direction_deg_lag24,0.11949721351131373
LinearRegression,wind_direction_deg_lag24,0.11949721351131384
LinearRegression,pm25_ugm3_rollmean_3,0.11834500420517888
LinearRegression,pm25_ugm3_rollmean_3,0.1183450042051786
LinearRegression,pm25_ugm3_rollmean_6,0.02119185877811621
LinearRegression,pm25_ugm3_rollmean_6,0.02119185877811599
LinearRegression,pm25_ugm3_rollmean_24,-0.12999192853230324
LinearRegression,pm25_ugm3_rollmean_24,-0.12999192853230368
LinearRegression,co_ppm_rollmean_3,0.027152485747468508
LinearRegression,co_ppm_rollmean_3,0.02715248574746859
LinearRegression,co_ppm_rollmean_6,0.11574519016930361
LinearRegression,co_ppm_rollmean_6,0.11574519016930408
LinearRegression,co_ppm_rollmean_24,-0.20098523782395133
LinearRegression,co_ppm_rollmean_24,-0.200985237823951
LinearRegression,no2_ppb_rollmean_3,0.6858381421051792
LinearRegression,no2_ppb_rollmean_3,0.6858381421051796
LinearRegression,no2_ppb_rollmean_6,-0.15362058329194395
LinearRegression,no2_ppb_rollmean_6,-0.15362058329194406
LinearRegression,no2_ppb_rollmean_24,0.007328749524367184
LinearRegression,no2_ppb_rollmean_24,0.00732874952436674
LinearRegression,so2_ppb_rollmean_3,0.28713422464792576
LinearRegression,so2_ppb_rollmean_3,0.2871342246479254
LinearRegression,so2_ppb_rollmean_6,-0.39602812952509703
LinearRegression,so2_ppb_rollmean_6,-0.396028129525097
LinearRegression,so2_ppb_rollmean_24,0.13050601458668618
LinearRegression,so2_ppb_rollmean_24,0.13050601458668576
LinearRegression,o3_ppb_rollmean_3,0.21448706657237182
LinearRegression,o3_ppb_rollmean_3,0.21448706657237182
LinearRegression,o3_ppb_rollmean_6,1.1871893232671977
LinearRegression,o3_ppb_rollmean_6,1.187189323267197
LinearRegression,o3_ppb_rollmean_24,0.1583080850970815
LinearRegression,o3_ppb_rollmean_24,0.15830808509708172
LinearRegression,temperature_c_rollmean_3,0.2768552766224195
LinearRegression,temperature_c_rollmean_3,0.27685527662241977
LinearRegression,temperature_c_rollmean_6,0.03169475991002482
LinearRegression,temperature_c_rollmean_6,0.03169475991002477
LinearRegression,temperature_c_rollmean_24,0.10844985630124226
LinearRegression,temperature_c_rollmean_24,0.10844985630124249
LinearRegression,relative_humidity_rollmean_3,-0.016762355696064338
LinearRegression,relative_humidity_rollmean_3,-0.01676235569606399
LinearRegression,relative_humidity_rollmean_6,-0.13025837419790598
LinearRegression,relative_humidity_rollmean_6,-0.1302583741979059
LinearRegression,relative_humidity_rollmean_24,-0.03166719336619653
LinearRegression,relative_humidity_rollmean_24,-0.03166719336619633
LinearRegression,wind_speed_ms_rollmean_3,0.1459972534677485
LinearRegression,wind_speed_ms_rollmean_3,0.14599725346774872
LinearRegression,wind_speed_ms_rollmean_6,-0.03086958333549411
LinearRegression,wind_speed_ms_rollmean_6,-0.03086958333549439
LinearRegression,wind_speed_ms_rollmean_24,0.22184542645001892
LinearRegression,wind_speed_ms_rollmean_24,0.22184542645001867
LinearRegression,wind_direction_deg_rollmean_3,-0.013780116695664646
LinearRegression,wind_direction_deg_rollmean_3,-0.013780116695664368
LinearRegression,wind_direction_deg_rollmean_6,0.07040521100834367
LinearRegression,wind_direction_deg_rollmean_6,0.07040521100834422
LinearRegression,wind_direction_deg_rollmean_24,-0.1294275027574151
LinearRegression,wind_direction_deg_rollmean_24,-0.12942750275741516
LinearRegression,temperature_c_x_relative_humidity,0.04226869296375094
LinearRegression,temperature_c_x_relative_humidity,0.04226869296375098
Ridge,latitude,-0.4001316402310829
Ridge,longitude,-0.3908364063351046
Ridge,pm25_ugm3,0.4286660952079389
Ridge,co_ppm,-1.0086587719079994
Ridge,no2_ppb,2.2475960866790126
Ridge,so2_ppb,-1.022202901289536
Ridge,o3_ppb,1.5522260481782109
Ridge,temperature_c,-0.5721938675248045
Ridge,relative_humidity,0.7473903129576284
Ridge,wind_speed_ms,0.0018741999700650244
Ridge,wind_direction_deg,-0.28968511268320624
Ridge,calibration_factor,-1.5136229193556565
Ridge,pm25_ugm3_lag1,0.28936768539703744
Ridge,pm25_ugm3_lag1,0.28936768539254126
Ridge,pm25_ugm3_lag3,-0.03906464059558275
Ridge,pm25_ugm3_lag3,-0.03906464059561897
Ridge,pm25_ugm3_lag6,-0.3268750225812294
Ridge,pm25_ugm3_lag6,-0.3268750225797498
Ridge,pm25_ugm3_lag24,0.306111468237652
Ridge,pm25_ugm3_lag24,0.30611146823786795
Ridge,co_ppm_lag1,0.10455653955135566
Ridge,co_ppm_lag1,0.10455653955134155
Ridge,co_ppm_lag3,0.0813518234048443
Ridge,co_ppm_lag3,0.08135182340460943
Ridge,co_ppm_lag6,0.1569707548147148
Ridge,co_ppm_lag6,0.15697075481566436
Ridge,co_ppm_lag24,0.2487506803619631
Ridge,co_ppm_lag24,0.2487506803616172
Ridge,no2_ppb_lag1,0.04082337694833329
Ridge,no2_ppb_lag1,0.04082337695547429
Ridge,no2_ppb_lag3,-0.25126319104346995
Ridge,no2_ppb_lag3,-0.2512631910467934
Ridge,no2_ppb_lag6,-0.513607577876824
Ridge,no2_ppb_lag6,-0.5136075778760666
Ridge,no2_ppb_lag24,0.5206026367257751
Ridge,no2_ppb_lag24,0.5206026367257033
Ridge,so2_ppb_lag1,-0.05470056848187216
Ridge,so2_ppb_lag1,-0.05470056848084192
Ridge,so2_ppb_lag3,-0.015980433584497772
Ridge,so2_ppb_lag3,-0.015980433584455573
Ridge,so2_ppb_lag6,0.38527053427757696
Ridge,so2_ppb_lag6,0.38527053427507274
Ridge,so2_ppb_lag24,-0.07776338926822192
Ridge,so2_ppb_lag24,-0.0777633892681101
Ridge,o3_ppb_lag1,0.12048565830994806
Ridge,o3_ppb_lag1,0.12048565831061962
Ridge,o3_ppb_lag3,0.23785774476675867
Ridge,o3_ppb_lag3,0.23785774476630842
Ridge,o3_ppb_lag6,-0.257867117539061
Ridge,o3_ppb_lag6,-0.2578671175386154
Ridge,o3_ppb_lag24,0.6938172377132852
Ridge,o3_ppb_lag24,0.6938172377131341
Ridge,temperature_c_lag1,-0.2808702902501121
Ridge,temperature_c_lag1,-0.28087029025053295
Ridge,temperature_c_lag3,-0.20961943940556124
Ridge,temperature_c_lag3,-0.20961943940433075
Ridge,temperature_c_lag6,0.15496584297856805
Ridge,temperature_c_lag6,0.15496584297985966
Ridge,temperature_c_lag24,-0.036280039909290594
Ridge,temperature_c_lag24,-0.036280039909772445
Ridge,relative_humidity_lag1,-0.17563201884568697
Ridge,relative_humidity_lag1,-0.17563201884604807
Ridge,relative_humidity_lag3,0.04298722909515779
Ridge,relative_humidity_lag3,0.04298722909591443
Ridge,relative_humidity_lag6,0.14143611545990528
Ridge,relative_humidity_lag6,0.1414361154587539
Ridge,relative_humidity_lag24,-0.021490965062474214
Ridge,relative_humidity_lag24,-0.0214909650620949
Ridge,wind_speed_ms_lag1,-0.20872651263027642
Ridge,wind_speed_ms_lag1,-0.20872651262906627
Ridge,wind_speed_ms_lag3,-0.05613821241465753
Ridge,wind_speed_ms_lag3,-0.05613821241554132
Ridge,wind_speed_ms_lag6,-0.06470450971728788
Ridge,wind_speed_ms_lag6,-0.064704509717214
Ridge,wind_speed_ms_lag24,-0.07016901656149027
Ridge,wind_speed_ms_lag24,-0.07016901656105358
Ridge,wind_direction_deg_lag1,-0.033505218276164504
Ridge,wind_direction_deg_lag1,-0.03350521827571658
Ridge,wind_direction_deg_lag3,0.0034348264712644573
Ridge,wind_direction_deg_lag3,0.0034348264712685626
Ridge,wind_direction_deg_lag6,0.3086586513907675
Ridge,wind_direction_deg_lag6,0.3086586513914468
Ridge,wind_direction_deg_lag24,0.11948436268128812
Ridge,wind_direction_deg_lag24,0.1194843626812847
Ridge,pm25_ugm3_rollmean_3,0.11838435741535769
Ridge,pm25_ugm3_rollmean_3,0.11838435741535194
Ridge,pm25_ugm3_rollmean_6,0.021183906390517454
Ridge,pm25_ugm3_rollmean_6,0.021183906386890022
Ridge,pm25_ugm3_rollmean_24,-0.12998435697417762
Ridge,pm25_ugm3_rollmean_24,-0.12998435697421162
Ridge,co_ppm_rollmean_3,0.027176133889047095
Ridge,co_ppm_rollmean_3,0.027176133889055355
Ridge,co_ppm_rollmean_6,0.11572525900139737
Ridge,co_ppm_rollmean_6,0.11572525900148098
Ridge,co_ppm_rollmean_24,-0.20095756216351532
Ridge,co_ppm_rollmean_24,-0.2009575621641498
Ridge,no2_ppb_rollmean_3,0.6854620445436516
Ridge,no2_ppb_rollmean_3,0.685462044543536
Ridge,no2_ppb_rollmean_6,-0.1533524304283421
Ridge,no2_ppb_rollmean_6,-0.15335243042832106
Ridge,no2_ppb_rollmean_24,0.007304507486714266
Ridge,no2_ppb_rollmean_24,0.007304507485844154
Ridge,so2_ppb_rollmean_3,0.2869734153373476
Ridge,so2_ppb_rollmean_3,0.2869734153372622
Ridge,so2_ppb_rollmean_6,-0.3958819449369506
Ridge,so2_ppb_rollmean_6,-0.39588194493682205
Ridge,so2_ppb_rollmean_24,0.13048123546277995
Ridge,so2_ppb_rollmean_24,0.13048123546194548
Ridge,o3_ppb_rollmean_3,0.21487291684171844
Ridge,o3_ppb_rollmean_3,0.2148729168344827
Ridge,o3_ppb_rollmean_6,1.186735718208486
Ridge,o3_ppb_rollmean_6,1.186735718208401
Ridge,o3_ppb_rollmean_24,0.15831854598055245
Ridge,o3_ppb_rollmean_24,0.15831854598055442
Ridge,temperature_c_rollmean_3,0.2767173494836182
Ridge,temperature_c_rollmean_3,0.2767173494841879
Ridge,temperature_c_rollmean_6,0.031757165767744476
